"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"OS","CD8_Tcells_Danaher","ICB_Liu__Melanoma__PD-(L)1",0.117,0.304,74,0.700735902226383,"Melanoma","PD-(L)1",0.983250007966065
"OS","CellCycle","ICB_Liu__Melanoma__PD-(L)1",-0.043,0.687,74,0.949674870140083,"Melanoma","PD-(L)1",0.988437109737638
"OS","CellCycle_Reg","ICB_Liu__Melanoma__PD-(L)1",0.135,0.542,74,0.803313024871877,"Melanoma","PD-(L)1",0.983250007966065
"OS","CIN25_Carter","ICB_Liu__Melanoma__PD-(L)1",-0.221,0.373,74,0.552717323928992,"Melanoma","PD-(L)1",0.983250007966065
"OS","CIN70_Carter","ICB_Liu__Melanoma__PD-(L)1",-0.128,0.418,74,0.758821952442183,"Melanoma","PD-(L)1",0.983250007966065
"OS","Co-Inhibition-APC_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.689,0.42,74,0.100760569546071,"Melanoma","PD-(L)1",0.882403662518012
"OS","Co-Inhibition-Tcell_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.256,0.388,74,0.509672849329111,"Melanoma","PD-(L)1",0.983250007966065
"OS","Co-Stimulation-APC_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.343,0.505,74,0.496806497789598,"Melanoma","PD-(L)1",0.983250007966065
"OS","Co-Stimulation-Tcell_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.245,0.408,74,0.548868098661752,"Melanoma","PD-(L)1",0.983250007966065
"OS","COX-IS_Bonavita","ICB_Liu__Melanoma__PD-(L)1",-0.139,0.139,74,0.317581378366,"Melanoma","PD-(L)1",0.983250007966065
"OS","CYT_Davoli","ICB_Liu__Melanoma__PD-(L)1",0.003,0.328,74,0.993818702967625,"Melanoma","PD-(L)1",0.995959326743292
"OS","CYT_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.058,0.304,74,0.848967441909339,"Melanoma","PD-(L)1",0.983250007966065
"OS","Cytotoxic-cells_Bindea","ICB_Liu__Melanoma__PD-(L)1",-0.176,0.423,74,0.677548843912422,"Melanoma","PD-(L)1",0.983250007966065
"OS","Cytotoxic-cells_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.032,0.345,74,0.925064759397313,"Melanoma","PD-(L)1",0.988437109737638
"OS","DC_Bindea","ICB_Liu__Melanoma__PD-(L)1",-0.802,0.427,74,0.0600925192360932,"Melanoma","PD-(L)1",0.882403662518012
"OS","DC_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.661,0.346,74,0.0559791001447761,"Melanoma","PD-(L)1",0.882403662518012
"OS","DDR","ICB_Liu__Melanoma__PD-(L)1",0.539,0.737,74,0.463908459569181,"Melanoma","PD-(L)1",0.983250007966065
"OS","DNA_replication","ICB_Liu__Melanoma__PD-(L)1",0.215,0.492,74,0.66170821025373,"Melanoma","PD-(L)1",0.983250007966065
"OS","EMT_Thompson","ICB_Liu__Melanoma__PD-(L)1",0.064,0.566,74,0.90987203401888,"Melanoma","PD-(L)1",0.988437109737638
"OS","EMT1","ICB_Liu__Melanoma__PD-(L)1",-0.22,0.686,74,0.748730672584887,"Melanoma","PD-(L)1",0.983250007966065
"OS","EMT2","ICB_Liu__Melanoma__PD-(L)1",-0.472,0.424,74,0.265556776215174,"Melanoma","PD-(L)1",0.983250007966065
"OS","EMT3","ICB_Liu__Melanoma__PD-(L)1",0.103,0.551,74,0.851946631902187,"Melanoma","PD-(L)1",0.983250007966065
"OS","EMTstroma_Wang","ICB_Liu__Melanoma__PD-(L)1",-0.781,0.491,74,0.111693361662867,"Melanoma","PD-(L)1",0.882403662518012
"OS","Eosinophils_Bindea","ICB_Liu__Melanoma__PD-(L)1",-1.588,1,74,0.112463211889551,"Melanoma","PD-(L)1",0.882403662518012
"OS","GPAGs","ICB_Liu__Melanoma__PD-(L)1",-0.348,0.722,74,0.630031362859865,"Melanoma","PD-(L)1",0.983250007966065
"OS","Homologous_recombination","ICB_Liu__Melanoma__PD-(L)1",0.412,0.584,74,0.48105482972293,"Melanoma","PD-(L)1",0.983250007966065
"OS","ICB-resistance_Peng","ICB_Liu__Melanoma__PD-(L)1",-0.381,0.468,74,0.415355367616498,"Melanoma","PD-(L)1",0.983250007966065
"OS","iDC_Bindea","ICB_Liu__Melanoma__PD-(L)1",-0.517,0.702,74,0.461794124150359,"Melanoma","PD-(L)1",0.983250007966065
"OS","IFN_Ayers","ICB_Liu__Melanoma__PD-(L)1",-0.16,0.219,74,0.464897454738068,"Melanoma","PD-(L)1",0.983250007966065
"OS","ImmuneCells_Xiong","ICB_Liu__Melanoma__PD-(L)1",-0.006,1.203,74,0.995959326743292,"Melanoma","PD-(L)1",0.995959326743292
"OS","ImmuneScore_Roh","ICB_Liu__Melanoma__PD-(L)1",-0.289,0.37,74,0.435459200930815,"Melanoma","PD-(L)1",0.983250007966065
"OS","ImmunoScore_Hao","ICB_Liu__Melanoma__PD-(L)1",-0.424,0.473,74,0.369955565178272,"Melanoma","PD-(L)1",0.983250007966065
"OS","IMPRES_Auslander","ICB_Liu__Melanoma__PD-(L)1",0.342,0.722,74,0.635269754090315,"Melanoma","PD-(L)1",0.983250007966065
"OS","IMS_Cui","ICB_Liu__Melanoma__PD-(L)1",-1.041,0.508,74,0.0404338950127085,"Melanoma","PD-(L)1",0.882403662518012
"OS","Inflammatory_Thompson","ICB_Liu__Melanoma__PD-(L)1",-0.102,0.323,74,0.753085047966138,"Melanoma","PD-(L)1",0.983250007966065
"OS","IPRES_Hugo","ICB_Liu__Melanoma__PD-(L)1",-0.845,1.209,74,0.484438627551794,"Melanoma","PD-(L)1",0.983250007966065
"OS","IPS_Charoentong","ICB_Liu__Melanoma__PD-(L)1",-0.005,0.177,74,0.978596178640799,"Melanoma","PD-(L)1",0.995959326743292
"OS","IPSOV_Shen","ICB_Liu__Melanoma__PD-(L)1",-0.283,1.564,74,0.856664379631419,"Melanoma","PD-(L)1",0.983250007966065
